CASEID,Y1,YY1,OCCAT1,OCCAT2,INDCAT,LF,HOUSECL,EDCL,EDUC,AGECL,LIFECL,FAMSTRUCT,KIDS,MARRIED,EXPENSHILO,WSAVED,SAVRES1,SAVRES2,SAVRES3,SAVRES4,SAVRES5,SAVRES6,SAVRES7,SAVRES8,SAVRES9,ASSET,FIN,NFIN,LIQ,CHECKING,SAVING,MMA,CDS,STOCKS,EQUITY,DEQ,BOND,GOVTBND,OBND,MORTBND,RETQLIQ,RETEQ,IRAKH,YESFINRISK,NOFINRISK
145156,11,1,1,2,2,1,1,3,9,6,5,5,0,1,3,3,0,0,1,0,0,0,0,0,0,282073.9986,164874.0014,117200.0027,14274.00112,1729.999312,12544,0,0,0,120739.9992,113400.0021,0,0,0,0,37200.00001,7340.000796,37200.00001,0,1
145161,21,2,4,4,4,0,1,4,12,4,6,3,0,2,3,2,0,0,0,0,0,0,1,0,0,221499.9991,57499.9965,164000.0026,32499.99566,1000.001119,29999.99739,1499.997155,0,0,20000.00429,0,0,0,0,0,20000.00429,20000.00429,20000.00429,0,1
145166,31,3,3,4,4,0,1,1,4,6,6,3,0,2,1,3,0,0,0,0,0,1,0,0,0,106560.0009,4039.999817,102520.0011,4039.999817,4039.999817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
145171,41,4,4,4,4,1,1,3,9,4,5,5,0,1,1,2,0,0,0,0,0,0,1,0,0,204937.9982,65137.99913,139799.999,4938.000514,1739.999957,3198.000557,0,0,0,0,0,0,0,0,0,60200.00223,0,60200.00223,0,1
145176,51,5,1,2,2,1,1,3,9,3,2,5,0,1,3,3,0,0,0,0,0,0,1,0,0,229123.9986,48424.0036,180700.0023,423.9969281,323.9977208,99.99739779,0,0,0,12960.00111,0,0,0,0,0,47999.99944,12960.00111,0,0,1
145186,71,7,3,4,4,0,1,4,13,5,6,4,1,1,1,1,0,0,0,0,0,1,0,0,0,2791142,413201.9986,2377940.001,7402.000449,6697.999951,704.0004984,0,0,0,342600.0016,0,0,0,0,0,342600.0016,342600.0016,342600.0016,1,0
145191,81,8,4,4,4,0,2,2,8,3,2,5,0,1,1,1,0,0,0,0,1,0,0,0,0,485146,476966.0011,8180.00246,1265.999806,666.0009444,600.0024809,0,0,0,209999.9998,0,0,0,0,0,350000.0027,209999.9998,0,0,0
145196,91,9,1,1,2,1,1,4,12,2,3,4,2,1,3,3,0,0,0,0,0,1,0,0,0,333379.9991,118779.9996,214599.9995,18779.99985,3780.001154,15000.0005,0,0,0,59999.99839,0,0,0,0,0,100000.0015,59999.99839,0,0,1
145201,101,10,3,4,4,0,1,4,12,5,6,3,0,2,3,3,0,0,0,0,0,0,1,0,0,551850.0001,447870.0008,103979.9993,22999.9986,3000.003357,0,20000.00429,18000.00205,0,20160.00012,0,0,0,0,0,71999.99915,20160.00012,71999.99915,0,0
145206,111,11,1,1,2,1,1,4,14,5,5,5,0,1,3,3,0,0,0,0,0,1,0,0,0,773999.9995,378180.0004,395820.0009,78680.00084,28679.99917,0,50000.00167,50000.00167,0,96350.00152,0,0,0,0,0,239999.9972,96350.00152,39999.99953,0,0
145216,131,13,3,4,4,0,1,4,12,4,6,3,0,2,3,2,0,0,0,0,0,0,1,0,0,177721.9996,3522.001897,174199.9959,3522.001897,3499.999393,22.00250352,0,0,0,0,0,0,0,0,0,0,0,0,0,1
145221,141,14,1,1,2,1,2,4,12,3,4,1,2,2,3,2,0,0,0,0,0,1,0,0,0,68339.9985,60620.00035,7719.998145,600.0024809,300.0012404,300.0012404,0,0,0,39477.99918,0,0,0,0,0,60019.99787,39477.99918,6999.998787,0,1
145226,151,15,1,2,2,1,2,4,12,3,1,2,0,2,3,2,0,0,0,0,0,1,0,0,0,5500.001632,1799.998396,3700.003236,1799.998396,1799.998396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
145231,161,16,3,4,4,0,1,4,12,6,6,4,1,1,3,3,1,0,0,0,0,0,0,0,0,27513800,20950000,6563799.999,50000.00167,0,0,50000.00167,400000.0043,10000000,12350000,11650000,1200000.004,0,699999.9963,0,0,0,0,0,0
145236,171,17,3,4,4,0,1,2,8,6,6,3,0,2,3,2,1,0,0,0,0,0,0,0,0,87660.00058,37660.00071,50000.00167,3159.999194,3159.999194,0,0,32800.00052,0,0,0,0,0,0,0,0,0,0,0,1
145246,191,19,1,2,2,1,1,3,9,4,5,4,1,1,1,2,0,0,0,0,0,1,0,0,0,1111620,500499.9983,611120.0003,87699.99953,27900.00137,59800.00178,0,0,0,174560.001,0,0,0,0,0,412800.0006,174560.001,372800.001,0,0
145251,201,20,1,1,2,1,1,4,14,4,5,5,0,1,3,3,0,0,0,0,0,1,0,0,0,3815999.999,2228999.998,1587000.001,74000.00139,4999.996549,0,68999.9958,0,100000.0033,903999.9984,228000.0018,0,0,0,0,1564999.996,626000.0039,104999.9999,0,0
145261,221,22,1,3,2,1,1,4,12,4,5,4,2,1,1,3,0,0,0,0,0,0,1,0,0,399580.0008,174599.9964,224979.999,14599.99825,4000.004477,10600.00282,0,0,0,79999.99906,0,0,0,0,0,159999.9981,79999.99906,79999.99906,0,0
145276,251,25,1,1,1,1,1,4,13,2,1,2,0,2,1,1,0,0,0,0,0,0,1,0,0,148099.9984,41099.99624,107000.0021,2000.002238,1000.001119,0,1000.001119,0,0,32704.99892,0,0,0,0,0,39100.00305,32704.99892,9499.997061,0,0
145286,271,27,1,3,1,1,1,1,3,3,3,4,1,1,2,3,0,0,0,0,0,1,0,0,0,62140.0006,4100.001874,58039.99873,2499.998274,2499.998274,0,0,0,0,0,0,1600.0036,0,0,0,0,0,0,0,1
145291,281,28,2,1,2,1,1,4,14,6,5,5,0,1,3,3,0,0,0,0,0,0,1,0,0,53077399.99,30515000,22562400,610000.0041,0,0,610000.0041,79999.99906,4999999.995,12321999.99,10000000,14700000,3699999.999,0,0,4499999.997,2250000.003,4499999.997,0,1
145301,301,30,1,2,2,1,2,4,12,4,5,3,0,2,2,1,0,0,0,0,0,1,0,0,0,30730.99619,22451.00357,8280.001667,1000.996298,0,1.004226106,1000.001119,0,200.0038427,949.9978967,949.9978967,0,0,0,0,499.996036,0,499.996036,1,0
145311,321,32,2,1,2,1,1,4,14,5,5,4,1,1,3,3,0,0,0,0,0,1,0,0,0,3725179.999,2325500.001,1399680.003,15299.99993,3299.995551,0,12000.00438,0,999999.9973,1060000.001,999999.9973,60000.00382,0,29999.99739,0,60000.00382,60000.00382,60000.00382,0,0
145316,331,33,3,4,4,0,1,1,4,5,6,3,0,2,1,1,0,0,0,0,0,0,1,0,0,270400.0004,1000.001119,269400.0011,1000.001119,499.996036,499.996036,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145326,351,35,4,4,4,0,1,4,12,4,6,3,0,2,2,3,0,0,0,0,1,0,0,0,0,3689299.999,12599.99963,3676700.001,12599.99963,12400.00121,0,200.0038427,0,0,0,0,0,0,0,0,0,0,0,0,1
145331,361,36,1,3,1,1,1,2,8,3,2,5,0,1,2,2,0,0,0,0,0,1,0,0,0,160797.0008,6256.999937,154540.0009,257.0022689,249.998018,7.000632083,0,0,0,5999.997668,0,0,0,0,0,5999.997668,5999.997668,0,0,0
145346,401,40,4,4,4,1,1,4,13,4,5,4,1,1,3,3,0,0,0,0,0,1,0,0,0,582680.0003,383999.9955,198679.9976,4999.996549,4999.996549,0,0,0,0,220600.0044,10000.00214,0,0,0,0,351000.0038,210600.0023,0,1,0
145351,411,41,1,1,1,1,1,2,8,2,3,4,2,1,3,3,0,1,0,0,0,0,0,0,0,397360.0007,34799.99914,362559.9979,4800.001753,900.0037213,3899.998032,0,0,0,29999.99739,0,0,0,0,0,29999.99739,29999.99739,29999.99739,0,0
145356,421,42,3,4,4,0,1,4,14,6,6,5,0,1,3,3,0,0,1,0,0,0,0,0,0,448259.9988,48260.00172,400000.0043,36259.99914,23740.00106,12519.9999,0,0,12000.00438,12000.00438,12000.00438,0,0,0,0,0,0,0,1,0
145361,431,43,3,4,4,0,1,2,8,6,6,5,0,1,3,1,0,0,0,0,0,0,1,0,0,300319.9999,26519.99928,273799.9988,1009.998145,1000.001119,9.997025654,0,0,300.0012404,300.0012404,300.0012404,0,0,0,0,0,0,0,0,1
145366,441,44,3,4,4,0,1,2,8,5,6,3,0,2,3,3,0,0,0,0,0,0,1,0,0,746300.002,601100.0005,145199.9996,8999.997406,8999.997406,0,0,0,0,591699.999,0,0,0,0,0,592099.9977,591699.999,287800,0,1
145371,451,45,4,4,4,0,1,3,9,1,1,2,0,2,3,2,0,1,0,0,0,0,0,0,0,88080.0005,2679.997209,85399.99786,2199.997034,699.9998787,1499.997155,0,0,0,0,0,0,0,0,0,0,0,0,0,1
145376,461,46,1,1,2,1,1,4,12,3,3,4,2,1,1,1,0,0,0,0,0,1,0,0,0,312320.0007,124499.9991,187820.0016,4500.000513,4500.000513,0,0,0,0,42000.00177,0,0,0,0,0,119999.9986,42000.00177,0,0,1
145386,491,49,1,2,2,1,1,3,9,2,3,4,4,1,3,3,0,1,0,0,0,0,0,0,0,56860.99928,18200.99926,38659.99821,1.004226106,0,0,0,0,0,10299.99977,0,0,0,0,0,18200.00046,10299.99977,0,0,1
145391,501,50,2,1,2,1,1,4,13,3,3,4,3,1,1,3,0,0,0,0,0,0,1,0,0,6274720,4194999.999,2079720.001,114000.0009,13999.99757,0,100000.0033,0,0,3665800.001,3399999.996,0,0,0,0,681000.0022,265799.9989,230999.9962,0,0
145396,511,51,1,1,1,1,1,2,8,4,5,3,0,2,1,3,0,0,0,0,0,1,0,0,0,201679.9992,66680.00008,134999.9973,13400.00414,499.996036,0,4500.000513,0,0,20364.00097,0,0,0,0,0,46000.00263,20364.00097,18999.99955,0,0
145401,521,52,2,1,2,1,1,4,12,4,5,5,0,1,3,3,0,0,0,0,0,1,0,0,0,317400.0006,91000.00232,226399.9982,20999.99636,20999.99636,0,0,0,0,50000.00167,0,0,0,0,0,50000.00167,50000.00167,50000.00167,0,0
145406,531,53,2,1,2,1,2,4,12,4,5,4,1,1,3,3,0,0,0,0,0,0,1,0,0,620589.9991,63350.00259,557240.0001,49349.99597,1349.996535,47999.99944,0,10000.00214,0,1000.001119,0,0,0,0,0,2000.002238,1000.001119,0,0,1
145411,541,54,1,1,2,1,1,4,12,4,5,4,2,1,3,3,0,0,0,0,0,1,0,0,0,4570899.999,3028500.001,1542399.998,32499.99566,7500.00387,0,20000.00429,0,60000.00382,1685000.004,109999.9964,0,0,0,0,2874999.997,1574999.998,275000.0002,0,0
145416,551,55,2,1,2,1,2,2,4,3,4,1,3,2,3,2,0,0,0,0,0,0,1,0,0,574939.9991,47600.0008,527340.0001,3100.000755,1300.00236,1799.998396,0,0,0,12480.00094,0,0,0,0,0,0,0,0,0,0
145421,561,56,1,2,2,1,2,3,9,1,2,5,0,1,2,3,0,0,0,0,0,0,1,0,0,58833.9996,9733.999838,49099.99795,9399.999663,1399.999757,7999.999906,0,0,0,0,0,0,0,0,0,334.0001748,0,0,1,0
145431,581,58,1,2,2,1,1,3,9,4,5,5,0,1,1,3,0,0,0,0,0,1,0,0,0,648400.0001,531999.9983,116400.0018,20999.99636,0,20000.00429,1000.001119,0,0,53800.00231,0,0,0,0,0,104999.9999,53800.00231,104999.9999,0,1
145436,591,59,2,2,2,1,1,2,8,3,3,4,2,1,3,1,0,0,0,0,0,1,0,0,0,485150.0006,155290.0004,329860.0002,750.0031011,249.998018,499.996036,0,0,0,141380.0013,0,0,0,0,0,11380.00242,11380.00242,0,0,0
145441,611,61,2,1,2,1,1,4,12,6,5,3,0,2,3,3,0,0,0,0,0,0,0,0,1,6305099.999,2313499.999,3991599.998,363700.0008,27299.99889,336400.0019,0,0,0,6180.000221,0,0,0,0,0,20599.99953,6180.000221,0,0,1
145446,621,62,1,2,2,1,1,4,13,2,1,2,0,2,3,3,0,0,0,0,0,1,0,0,0,887020.0006,688020.0004,198999.9965,24839.99957,11220.00116,0,0,0,47400.00057,388591.9994,337399.9994,0,0,0,0,127980.0008,51191.99816,127980.0008,0,0
145451,631,63,3,4,4,0,1,2,6,5,6,5,0,1,3,3,0,0,0,0,0,0,1,0,0,399940.0023,150999.9971,248939.9998,4999.996549,4000.004477,1000.001119,0,0,0,55500.00331,0,0,0,0,0,135999.9984,55500.00331,50000.00167,0,1
145456,641,64,1,2,2,1,1,2,8,4,5,3,0,2,3,2,0,0,0,0,0,0,1,0,0,668531.9977,266291.9991,402240.0003,36999.99979,36999.99979,0,0,60999.99951,0,62390.00043,0,0,0,0,0,160799.999,62390.00043,160799.999,0,1
145461,651,65,1,1,2,1,2,4,13,4,5,3,0,2,3,3,0,0,0,0,1,0,0,0,0,14815.99914,3816.001303,11000.00326,1315.997601,1300.00236,16.0006693,0,0,0,0,0,0,0,0,0,2499.998274,0,0,0,1
145466,661,66,1,1,2,1,2,4,14,1,1,2,0,2,3,2,0,0,0,0,0,1,0,0,0,28897.99765,8298.001741,20599.99953,7999.999906,4000.004477,4000.004477,0,0,0,0,0,0,0,0,0,0,0,0,0,1
145471,671,67,1,1,2,1,1,4,12,1,1,2,0,2,1,2,0,0,0,0,0,0,1,0,0,238859.9997,21659.99909,217199.9988,11599.9967,10700.00202,900.0037213,0,0,8439.999313,8439.999313,8439.999313,0,0,0,0,0,0,0,0,0
145476,681,68,2,1,2,1,1,4,13,5,5,5,0,1,1,3,0,0,0,0,0,1,0,0,0,49757599.99,37540000,12217600,1339999.998,300000.001,0,39999.99953,0,6999999.999,17180000,11900000,5200000.002,0,0,0,2000000.004,0,2000000.004,0,0
145481,691,69,1,1,2,1,1,4,12,2,2,5,0,1,3,3,0,0,0,0,0,1,0,0,0,962800.0009,537000.0039,425799.997,67000.0026,26000.00196,41000.00065,0,0,29999.99739,229299.9988,220000.0019,0,0,0,0,239999.9972,9299.998647,10000.00214,0,0
145486,701,70,1,2,2,1,2,3,9,1,4,1,1,2,3,3,0,0,0,1,0,0,0,0,0,276710.0036,20989.99933,255719.997,17690.00378,2490.001249,15200.00254,0,0,1300.00236,1300.00236,1300.00236,0,0,0,0,0,0,0,0,1
145491,711,71,1,2,2,1,1,3,9,5,5,5,0,1,3,3,0,0,0,0,0,1,0,0,0,151700.0006,8660.000826,143039.9998,8660.000826,7099.999803,1560.001022,0,0,0,0,0,0,0,0,0,0,0,0,0,1
145496,721,72,1,1,2,1,2,4,12,1,1,2,0,2,1,3,0,0,0,0,0,0,1,0,0,246199.9987,83000.00242,163199.9963,35000.00298,14999.99869,20000.00429,0,2000.002238,14999.99869,27000.00308,14999.99869,0,0,0,0,15999.99981,12000.00438,4000.004477,1,0
145501,731,73,3,4,4,0,1,2,5,4,6,4,1,1,3,2,0,0,0,0,0,0,1,0,0,7127260.001,5300400.001,1826860.002,87799.99874,87799.99874,0,0,999999.9973,916400.0014,2957399.998,2957399.998,0,0,0,0,254999.9995,0,254999.9995,0,1
145506,741,74,3,4,4,0,1,3,9,4,6,5,0,1,3,3,0,0,0,0,0,0,1,0,0,1331717.999,753458.0008,578259.9996,25657.99873,2135.999785,8466.000626,15056.00013,0,25700.00072,137435.0013,63499.99959,0,0,0,0,664300.0007,73934.99992,59699.99715,0,0
145521,771,77,1,2,2,1,1,4,12,4,5,5,0,1,1,3,0,0,0,0,1,0,0,0,0,773919.9998,347579.9987,426340.0011,16580.001,7959.999137,8619.998248,0,0,0,99299.99985,0,0,0,0,0,331000.0013,99299.99985,0,0,0
145526,781,78,1,2,2,1,1,2,8,3,2,5,0,1,3,2,0,0,0,0,0,0,1,0,0,134449.998,20249.99869,114200.0011,5049.999771,1249.999137,3800.000634,0,0,0,7599.999458,0,0,0,0,0,15199.99892,7599.999458,15199.99892,0,1
145531,791,79,1,2,2,1,1,1,3,4,5,5,0,1,3,3,0,0,0,0,0,0,0,1,0,370960.0001,14299.99881,356660.0013,2300.003479,1300.00236,1000.001119,0,0,0,2519.999563,0,0,0,0,0,12000.00438,2519.999563,0,0,1
145539,804,80,4,4,4,0,1,3,9,1,4,1,2,2,1,2,0,0,0,0,1,0,0,0,0,81960.00415,960.0039694,81000.00018,960.0039694,960.0039694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
145541,811,81,3,4,4,0,1,2,8,4,6,5,0,1,3,2,0,0,0,0,0,0,0,1,0,501791.9994,94472.001,407320.0039,40652.00102,4488.000463,36163.99875,0,32800.00233,0,0,0,0,0,0,0,0,0,0,0,0
145546,821,82,2,2,2,1,1,3,9,5,5,3,0,2,3,3,0,0,0,0,0,0,1,0,0,2674279.998,440000.0039,2234279.999,5999.997668,5999.997668,0,0,0,27000.00308,34000.00186,27000.00308,0,0,0,0,6999.998787,6999.998787,6999.998787,1,0
145556,841,84,1,2,2,1,1,3,9,3,4,1,4,2,1,3,0,0,0,0,1,0,0,0,0,140648.0001,14188.00137,126460.0006,14188.00137,4440.000264,828.0016142,8919.999488,0,0,0,0,0,0,0,0,0,0,0,0,1
145561,851,85,1,1,2,1,2,4,12,1,3,4,2,1,3,3,0,0,0,1,0,0,0,0,0,36309.99875,28629.99956,7679.999186,14409.99867,2911.998772,11497.99989,0,0,0,10969.99952,1219.997204,0,0,0,0,12999.99645,9750.004126,0,0,0
145566,861,86,1,1,2,1,2,2,8,2,4,1,2,2,3,2,0,0,0,0,0,0,1,0,0,14040.00196,8379.999065,5659.997468,2680.000828,2080.000156,600.0024809,0,0,0,450.0018607,0,0,0,0,0,4500.000513,450.0018607,0,0,1
145571,871,87,1,3,1,1,1,2,8,3,3,4,1,1,1,1,0,0,0,0,0,0,1,0,0,212400.0007,65799.99945,146600.0012,600.0024809,600.0024809,0,0,0,0,13209.99913,0,0,0,0,0,65199.99878,13209.99913,0,0,1
145576,881,88,2,1,2,1,1,4,14,3,2,5,0,1,1,2,0,0,0,0,0,0,1,0,0,1773560.001,59000.0027,1714559.998,23999.99972,12000.00438,12000.00438,0,0,35000.00298,35000.00298,35000.00298,0,0,0,0,0,0,0,0,0
145581,891,89,2,1,1,1,1,4,12,3,1,2,0,2,3,3,0,0,0,0,0,0,1,0,0,16430900,2978499.999,13452400,329999.9984,2000.002238,0,327999.9961,0,199999.9976,1042500.001,660999.9979,0,0,0,0,687499.9959,381499.9972,7500.00387,0,0
145586,901,90,3,4,4,0,2,2,8,6,6,3,0,2,3,2,0,0,0,0,1,0,0,0,0,15299.99993,15299.99993,0,15299.99993,300.0012404,14999.99869,0,0,0,0,0,0,0,0,0,0,0,0,0,1
145594,914,91,3,4,4,0,2,1,3,6,6,3,0,2,1,2,0,0,0,0,0,0,1,0,0,20250.00231,16450.00167,3800.000634,450.0018607,450.0018607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
145596,921,92,2,1,2,1,1,4,12,2,3,4,4,1,3,3,0,0,0,0,0,0,1,0,0,43714854,25697654,18017200,552453.9996,500600.0011,45053.99992,6800.000372,0,25000000,25145200,25000000,0,0,0,0,145200.0015,145200.0015,145200.0015,1,0
145601,931,93,1,3,1,1,1,2,5,1,1,2,0,2,1,3,0,0,0,0,0,0,1,0,0,148400.0014,6800.003991,141599.9974,6800.003991,799.9972765,5999.997668,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145606,941,94,3,4,4,0,1,3,9,6,6,5,0,1,1,2,0,0,0,0,0,0,1,0,0,26492200,12632200,13860000,5202200.001,2199.998843,0,5200000.002,0,0,999999.9973,999999.9973,0,0,0,0,0,0,0,0,1
145611,951,95,3,4,4,0,1,4,13,6,6,5,0,1,3,3,1,0,0,0,0,0,0,0,0,16012599.99,14432000,1580600.003,130000.0007,0,100000.0033,29999.99739,0,100000.0033,3449999.998,3350000.004,0,0,0,0,2861999.998,0,2762000.002,0,0
145616,961,96,3,4,4,0,2,2,8,6,6,3,0,2,3,3,0,0,0,0,0,1,0,0,0,6373939.999,4725999.996,1647939.998,300000.001,189999.9955,0,0,510000.0008,67000.0026,416000.0042,67000.0026,3500000,0,0,300000.001,28000.00419,28000.00419,0,0,1
145626,981,98,3,4,4,0,1,3,11,5,6,5,0,1,3,2,0,0,0,0,0,1,0,0,0,469200.0004,201400.001,267800.0011,15799.99597,3800.000634,12000.00438,0,25000.00084,0,81400.00063,0,0,0,0,0,143799.9999,81400.00063,69999.99692,0,0
145631,991,99,3,4,4,0,1,2,8,4,6,4,2,1,3,3,0,0,0,0,0,1,0,0,0,425579.9973,36999.99617,388580.0012,2000.002238,1000.001119,0,1000.001119,0,0,16439.99741,0,0,0,0,0,34000.00186,16439.99741,4000.004477,0,0
145636,1001,100,2,2,2,1,1,2,8,2,2,5,0,1,1,1,0,0,0,0,0,0,1,0,0,181250.0015,2749.996292,178499.9962,2749.996292,2499.998274,249.998018,0,0,0,0,0,0,0,0,0,0,0,0,1,0
145641,1011,101,2,1,2,1,1,4,13,4,5,4,1,1,3,3,0,0,0,0,0,0,1,0,0,41677656,3293076,38384579.99,788475.9984,86349.99938,0,702125.9972,0,768200.0002,789260.0005,768200.0002,1338400.001,0,1338400.001,0,95799.99865,21060.00023,95799.99865,0,0
145651,1031,103,1,1,2,1,1,4,13,3,3,4,2,1,3,3,0,0,0,0,0,0,1,0,0,6823000,2784000.003,4038999.997,84000.00354,2000.002238,82000.0013,0,0,0,1645999.996,0,0,0,0,0,699999.9963,419999.9996,699999.9963,0,0
145656,1041,104,2,1,2,1,1,4,12,5,5,5,0,1,3,3,0,0,0,0,0,0,1,0,0,1911220.001,621200.0022,1290020.001,124199.9979,3199.998153,0,120999.9997,0,0,0,0,0,0,0,0,474999.9978,0,474999.9978,0,0
145661,1051,105,2,2,2,1,2,2,8,2,4,1,2,2,3,3,0,0,0,0,0,1,0,0,0,20672.00164,6931.999109,13739.99891,4679.997638,2300.003479,2380.001397,0,0,0,0,0,0,0,0,0,0,0,0,0,1
145666,1061,106,1,3,2,1,1,2,8,3,1,2,0,2,3,2,0,0,0,0,0,1,0,0,0,505110.0005,168439.9992,336669.9958,2040.001197,1000.001119,0,1040.000078,0,0,166199.9996,0,0,0,0,0,166199.9996,166199.9996,159999.9981,0,0
145671,1071,107,1,3,1,1,1,2,8,2,3,4,1,1,3,2,0,0,0,0,0,1,0,0,0,164459.9979,16799.99709,147660.0008,799.9972765,799.9972765,0,0,0,0,15999.99981,0,0,0,0,0,15999.99981,15999.99981,0,0,0
145681,1091,109,3,4,4,0,1,2,8,4,6,5,0,1,1,3,0,0,0,0,0,1,0,0,0,93400.0032,3000.003357,90399.99984,1000.001119,1000.001119,0,0,0,0,0,0,0,0,0,0,2000.002238,0,2000.002238,0,1
145691,1111,111,3,4,4,0,1,2,8,4,6,5,0,1,3,2,0,0,0,0,0,0,1,0,0,2576390,5290.000763,2571099.998,270.0011164,270.0011164,0,0,0,0,383.9997784,0,0,0,0,0,5019.997838,383.9997784,0,1,0
145696,1121,112,1,3,1,1,1,3,11,1,2,5,0,1,3,3,0,0,0,0,0,1,0,0,0,208192.0002,75291.99889,132900.0013,5999.997668,1499.997155,4500.000513,0,0,0,37072.0019,0,0,0,0,0,69291.99942,37072.0019,0,0,0
145701,1131,113,1,1,2,1,1,4,14,2,3,4,2,1,1,3,0,0,0,0,0,1,0,0,0,7812799.997,1949600.002,5863200.003,845999.9968,29999.99739,5999.997668,807999.9995,0,0,223999.9974,47999.99944,0,0,0,0,1005600.004,175999.9979,197600.004,0,0
145706,1141,114,1,1,2,1,1,4,13,2,3,4,3,1,3,3,0,0,0,0,0,0,0,0,1,45861400,26757000,19104400,3233000.001,55599.99889,1181399.999,1996000.003,0,0,18938280,13396000,1986000.001,0,1986000.001,0,5691999.999,4493600.001,4700800.001,0,0
145711,1151,115,1,1,2,1,2,2,8,5,5,5,0,1,1,2,0,0,0,0,1,0,0,0,0,14392.0004,10552.00262,3839.999593,552.000473,552.000473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
145716,1161,116,1,1,2,1,1,4,12,4,5,5,0,1,3,3,0,0,0,0,0,1,0,0,0,14266600,11028000,3238599.997,2027999.999,76000.00363,0,1952000.004,350000.0027,20000.00429,2949999.999,20000.00429,0,0,0,0,529999.996,529999.996,180000.0024,0,0
145721,1171,117,4,4,4,0,2,3,9,1,1,2,0,2,3,1,0,0,0,0,0,0,1,0,0,1000.001119,1000.001119,0,1000.001119,1000.001119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
145726,1181,118,1,3,2,1,1,3,9,4,5,5,0,1,3,3,0,0,0,0,0,1,0,0,0,231374.0007,78864.00039,152509.9985,33823.99812,2424.000976,3599.996791,27800.00035,0,0,15579.99988,0,0,0,0,0,37999.99729,15579.99988,0,0,0
145731,1191,119,1,1,2,1,1,4,12,1,2,5,0,1,3,3,0,0,0,0,1,0,0,0,0,358760.0009,36199.9989,322560.002,12500.00042,3499.999393,9000.001025,0,0,0,13529.99985,0,0,0,0,0,22500.00256,13529.99985,20000.00429,0,0
145736,1201,120,1,1,2,1,1,4,12,6,5,5,0,1,3,3,0,0,0,0,0,0,1,0,0,55858999.99,44787999.99,11071000,1310000,209999.9998,0,1100000.001,499999.9986,999999.9973,18972000,16222000,0,0,0,0,3500000,1950000.002,1499999.996,0,0
145741,1211,121,2,1,2,1,1,4,13,5,5,5,0,1,3,3,0,0,0,0,0,0,1,0,0,94853999.99,2317600.001,92536399.98,568799.9996,82600.00016,34999.99936,451199.9983,0,999999.9973,1224579.999,999999.9973,0,0,0,0,280600.001,84180.00066,280600.001,0,0
145746,1221,122,3,4,4,0,1,3,9,6,6,4,2,1,1,3,0,0,0,0,0,0,1,0,0,591204,71444.00168,519760.0001,13043.99965,4049.998652,825.9985903,8168.00241,10400.00259,0,0,0,0,0,0,0,0,0,0,0,0
145751,1231,123,1,2,2,1,1,3,11,1,2,5,0,1,3,3,0,0,0,0,0,1,0,0,0,187748.0013,36707.99979,151040.0015,13328.00022,2328.002388,11000.00326,0,0,0,1000.001119,0,0,0,0,0,23379.99957,1000.001119,1000.001119,0,0
145756,1241,124,3,4,4,0,2,1,6,5,6,3,0,2,3,3,0,0,0,0,1,0,0,0,0,12040.00334,1099.998517,10939.9994,1099.998517,1099.998517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
145766,1261,126,3,4,4,0,1,2,8,6,6,3,0,2,1,2,0,0,0,0,1,0,0,0,0,200710,8109.999758,192600.0002,5999.997668,1000.001119,4999.996549,0,0,0,0,0,0,0,0,0,0,0,0,0,1
145771,1271,127,1,2,2,1,1,3,11,4,5,3,0,2,2,1,0,0,0,0,0,1,0,0,0,549200.003,404699.9997,144500.0034,367100.001,2099.999636,0,365000.0014,20000.00429,14999.99869,15260.00278,14999.99869,0,0,0,0,2599.995672,260.0040907,2599.995672,0,0
145776,1281,128,2,1,2,1,1,4,12,4,5,5,0,1,1,3,0,0,0,0,0,1,0,0,0,21976800,9763999.998,12212800,30999.9985,30999.9985,0,0,0,0,2599350,999999.9973,0,0,0,0,8407999.997,1511600,149999.996,1,0
145781,1291,129,1,2,2,1,1,3,9,3,3,4,1,1,3,3,0,1,0,0,0,0,0,0,0,785166.0004,337506.0005,447660,9819.997781,3500.001203,6320.002007,0,0,0,0,0,0,0,0,0,318799.9985,0,0,0,0
145786,1301,130,1,2,2,1,2,1,2,3,2,5,0,1,3,2,0,0,0,0,0,0,1,0,0,7600.001268,2000.002238,5599.999029,2000.002238,2000.002238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
145791,1311,131,2,1,2,1,1,4,12,3,3,4,3,1,1,3,0,0,0,0,0,0,1,0,0,880959.9991,94659.99936,786299.9979,17300.00217,16480.0018,0,820.0003749,2459.999315,17599.99979,20704.99997,17599.99979,0,0,0,0,37379.99895,3105.000173,37379.99895,0,0
